trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-150.51610664541664,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.5}",30,0,-142.78079056515165,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.25}",20,0,-10.236704353760077,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.125}",30,16,20.124104645250497,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.0625}",25,4,-11.945285699821635,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.03125}",20,0,-114.54176551982266,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.015625}",20,6,14.893801260189896,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.0078125}",20,0,-59.11118130644303,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.00390625}",25,17,8.022074840579213,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.001953125}",25,11,7.081311122701806,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.0009765625}",25,0,18.62028175078939,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.00048828125}",30,0,-58.464117724940316,"{0: 26, 1: 0, 2: 1, 3: 2, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.000244140625}",20,0,26.14306422092601,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.0001220703125}",20,1,-13.642702872079218,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 6.103515625e-05}",20,0,4.845784656758164,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 3.0517578125e-05}",20,0,-22.914347391384183,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.52587890625e-05}",25,0,8.265611271419354,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 7.62939453125e-06}",20,0,17.926202762252917,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 3.814697265625e-06}",30,21,13.035639606635304,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
