trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-148.84808883190516,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-67.5996274137692,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-147.35404533544994,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-178.8945910830909,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-43.51881215198732,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-72.79790467535858,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",30,0,-85.97064153398108,"{0: 18, 1: 4, 2: 8, 3: 0, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-67.22983145090058,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-96.17849532714862,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",25,0,-47.718747042943235,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-120.23108409378926,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,14,-45.546631132578895,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 0}",1
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-104.285529311869,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-138.21461256747182,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
