trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.47875609052473,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-233.32556314940834,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.49210227493657,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.04422349697343,"{0: 10, 1: 5, 2: 9, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.25892217558706,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-78.29721986109622,"{0: 24, 1: 3, 2: 7, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.60928373449804,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-32.76438582644022,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.02995405580215,"{0: 16, 1: 3, 2: 3, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-173.82721990321082,"{0: 15, 1: 6, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.51812794138618,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-300.62516947073607,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 6}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,6,-119.39130268236855,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.303453390461584,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.94878943080077,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,17,-60.04401784335908,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.48231204337083,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.10026664174711,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.74995455895481,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.40747897428986,"{0: 7, 1: 6, 2: 6, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.96027185131268,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.90394781814408,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-170.9502423975141,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-137.49617248560125,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-78.05508225140892,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-62.88796566069581,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.16958380797054,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-198.22553216267607,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.45324940846467,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-160.78589125537513,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
